# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
21              	2.43171873e-02	1.45489257e-02	9.76826162e-03	1.49350081e-04	1.89251949e-05	1.30424886e-04	-5.57498453e-05	2.39033204e-03	-1.30317144e-02	1.77417865e-01	7.56772181e-02	1.01740647e-01
22              	2.56242300e-02	1.52357689e-02	1.03884612e-02	7.35510450e-05	-2.76051966e-05	1.01156242e-04	-6.43807190e-05	2.42365386e-03	-1.26890996e-02	1.77380414e-01	7.60011072e-02	1.01379306e-01
23              	2.40832381e-02	1.45936897e-02	9.48954835e-03	-2.14210335e-04	-2.07846343e-04	-6.36399197e-06	-1.00741175e-04	2.55207069e-03	-1.32572406e-02	1.77999677e-01	7.57425977e-02	1.02257079e-01
24              	2.10589014e-02	1.32541941e-02	7.80470728e-03	-6.08458764e-04	-4.49097896e-04	-1.59360868e-04	-1.44868514e-04	2.72474343e-03	-1.42821685e-02	1.78908645e-01	7.51721539e-02	1.03736491e-01
25              	1.81203821e-02	1.19353896e-02	6.18499248e-03	-9.60228504e-04	-6.54185068e-04	-3.06043436e-04	-1.74070816e-04	2.87519857e-03	-1.52546343e-02	1.79724412e-01	7.46075718e-02	1.05116840e-01
26              	1.63390221e-02	1.11314263e-02	5.20759582e-03	-1.17044444e-03	-7.68787464e-04	-4.01656978e-04	-1.83565243e-04	2.96191522e-03	-1.58335318e-02	1.80197825e-01	7.42653808e-02	1.05932444e-01
27              	1.60580385e-02	1.10035744e-02	5.05446412e-03	-1.21633105e-03	-7.88054347e-04	-4.28276707e-04	-1.79888820e-04	2.97455513e-03	-1.59146910e-02	1.80257332e-01	7.42139750e-02	1.06043357e-01
28              	1.69798001e-02	1.14143111e-02	5.56548902e-03	-1.12266710e-03	-7.29786027e-04	-3.92881072e-04	-1.68452477e-04	2.92441103e-03	-1.55995400e-02	1.79985001e-01	7.43929603e-02	1.05592040e-01
29              	1.84286172e-02	1.20505109e-02	6.37810627e-03	-9.38137077e-04	-6.23512270e-04	-3.14624807e-04	-1.54443731e-04	2.83620233e-03	-1.51105915e-02	1.79555626e-01	7.46672214e-02	1.04888404e-01
30              	1.97121076e-02	1.26018494e-02	7.11025823e-03	-7.40595838e-04	-5.11731805e-04	-2.28864033e-04	-1.41433886e-04	2.74579558e-03	-1.46761857e-02	1.79151763e-01	7.48996957e-02	1.04252067e-01
31              	2.03822842e-02	1.28738261e-02	7.50845818e-03	-6.02179270e-04	-4.28918783e-04	-1.73260488e-04	-1.27829147e-04	2.68268394e-03	-1.44443513e-02	1.78900661e-01	7.50059790e-02	1.03894682e-01
32              	2.03360833e-02	1.28335031e-02	7.50258026e-03	-5.65809281e-04	-3.96110800e-04	-1.69698481e-04	-1.13206160e-04	2.66546142e-03	-1.44506222e-02	1.78847774e-01	7.49732646e-02	1.03874509e-01
33              	1.97841287e-02	1.25823498e-02	7.20177887e-03	-6.23899176e-04	-4.10656980e-04	-2.13242196e-04	-9.87073918e-05	2.69028548e-03	-1.46282894e-02	1.78957293e-01	7.48503573e-02	1.04106936e-01
34              	1.90635501e-02	1.22747399e-02	6.78881018e-03	-7.52788097e-04	-4.62882002e-04	-2.89906095e-04	-8.64879536e-05	2.74296487e-03	-1.48682982e-02	1.79153130e-01	7.47082668e-02	1.04444863e-01
35              	1.84874659e-02	1.20457196e-02	6.44174636e-03	-9.05729934e-04	-5.29673312e-04	-3.76056622e-04	-7.68083452e-05	2.80198660e-03	-1.50670771e-02	1.79351680e-01	7.46087628e-02	1.04742917e-01
36              	1.82355969e-02	1.19665636e-02	6.26903323e-03	-1.03665842e-03	-5.91354732e-04	-4.45303689e-04	-7.30255211e-05	2.84876520e-03	-1.51631264e-02	1.79490405e-01	7.45820763e-02	1.04908329e-01
37              	1.83113037e-02	1.20300825e-02	6.28122122e-03	-1.11333093e-03	-6.30791461e-04	-4.82539466e-04	-7.41259971e-05	2.87443062e-03	-1.51511477e-02	1.79543966e-01	7.46208351e-02	1.04923131e-01
38              	1.85956141e-02	1.21749466e-02	6.42066750e-03	-1.12840647e-03	-6.41642077e-04	-4.86764391e-04	-7.74388431e-05	2.87713955e-03	-1.50660241e-02	1.79519628e-01	7.46937900e-02	1.04825838e-01
39              	1.89229784e-02	1.23258541e-02	6.59712430e-03	-1.10217838e-03	-6.31430832e-04	-4.70747551e-04	-8.03416406e-05	2.86436492e-03	-1.49602240e-02	1.79446919e-01	7.47632357e-02	1.04683684e-01
