# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
21              	2.43216335e-02	1.45525422e-02	9.76909129e-03	1.40253998e-04	2.21495600e-05	1.18104438e-04	-4.79774388e-05	2.39172545e-03	-1.30300548e-02	1.77412570e-01	7.56762304e-02	1.01736340e-01
22              	2.56340749e-02	1.52419054e-02	1.03921694e-02	6.56882327e-05	-2.30632712e-05	8.87515039e-05	-5.59073876e-05	2.42486800e-03	-1.26852599e-02	1.77374207e-01	7.60018436e-02	1.01372363e-01
23              	2.40925289e-02	1.45986631e-02	9.49386588e-03	-2.17164026e-04	-2.03222395e-04	-1.39416310e-05	-9.46403817e-05	2.55239859e-03	-1.32534399e-02	1.77995076e-01	7.57440980e-02	1.02250978e-01
24              	2.10630345e-02	1.32551241e-02	7.80791042e-03	-6.04435580e-04	-4.45166313e-04	-1.59269267e-04	-1.42948523e-04	2.72360685e-03	-1.42801832e-02	1.78907148e-01	7.51733911e-02	1.03733757e-01
25              	1.81187708e-02	1.19317671e-02	6.18700371e-03	-9.48605605e-04	-6.50968460e-04	-2.97637145e-04	-1.76665658e-04	2.87238167e-03	-1.52549317e-02	1.79726316e-01	7.46082264e-02	1.05118090e-01
26              	1.63333669e-02	1.11246454e-02	5.20872146e-03	-1.15411331e-03	-7.66415648e-04	-3.87697662e-04	-1.89358993e-04	2.95796198e-03	-1.58356451e-02	1.80202165e-01	7.42654375e-02	1.05936728e-01
27              	1.60531322e-02	1.09966661e-02	5.05646612e-03	-1.19934502e-03	-7.86359511e-04	-4.12985513e-04	-1.86686999e-04	2.97009999e-03	-1.59169206e-02	1.80261749e-01	7.42139537e-02	1.06047795e-01
28              	1.69791512e-02	1.14097760e-02	5.56937523e-03	-1.10857992e-03	-7.28445644e-04	-3.80134274e-04	-1.74155685e-04	2.92020037e-03	-1.56004761e-02	1.79987431e-01	7.43932393e-02	1.05594191e-01
29              	1.84322001e-02	1.20490889e-02	6.38311121e-03	-9.29177444e-04	-6.22144096e-04	-3.07033348e-04	-1.57555374e-04	2.83298882e-03	-1.51099614e-02	1.79555347e-01	7.46677123e-02	1.04887635e-01
30              	1.97177283e-02	1.26025462e-02	7.11518216e-03	-7.35854756e-04	-5.09443066e-04	-2.26411691e-04	-1.41515688e-04	2.74368201e-03	-1.46745190e-02	1.79149029e-01	7.48999953e-02	1.04249033e-01
31              	2.03874526e-02	1.28753559e-02	7.51209672e-03	-6.00222027e-04	-4.25607345e-04	-1.74614681e-04	-1.25496332e-04	2.68162960e-03	-1.44423714e-02	1.78896310e-01	7.50057835e-02	1.03890526e-01
32              	2.03381804e-02	1.28343281e-02	7.50385227e-03	-5.65260927e-04	-3.92429070e-04	-1.72831858e-04	-1.09798606e-04	2.66523791e-03	-1.44493500e-02	1.78843538e-01	7.49724193e-02	1.03871119e-01
33              	1.97827501e-02	1.25816365e-02	7.20111366e-03	-6.22824854e-04	-4.07198351e-04	-2.15626503e-04	-9.57859237e-05	2.69026140e-03	-1.46281084e-02	1.78954447e-01	7.48491151e-02	1.04105332e-01
34              	1.90600940e-02	1.22725175e-02	6.78757652e-03	-7.49600313e-04	-4.59933549e-04	-2.89666764e-04	-8.51333926e-05	2.74247050e-03	-1.48689901e-02	1.79152254e-01	7.47071369e-02	1.04445117e-01
35              	1.84912190e-02	1.20458779e-02	6.44534117e-03	-8.98804678e-04	-5.27532792e-04	-3.71271885e-04	-7.81304537e-05	2.80026835e-03	-1.50657972e-02	1.79351000e-01	7.46097026e-02	1.04741297e-01
36              	1.82450746e-02	1.19687220e-02	6.27635258e-03	-1.02772273e-03	-5.89901546e-04	-4.37821185e-04	-7.60401802e-05	2.84618470e-03	-1.51603890e-02	1.79489860e-01	7.45845412e-02	1.04905319e-01
37              	1.83234651e-02	1.20332861e-02	6.29017902e-03	-1.10436362e-03	-6.29493928e-04	-4.74869693e-04	-7.73121178e-05	2.87155352e-03	-1.51478198e-02	1.79543551e-01	7.46239555e-02	1.04919595e-01
38              	1.86060589e-02	1.21775407e-02	6.42851826e-03	-1.12119009e-03	-6.40387652e-04	-4.80802436e-04	-7.97926079e-05	2.87451120e-03	-1.50632752e-02	1.79519494e-01	7.46964718e-02	1.04823022e-01
39              	1.89288727e-02	1.23268136e-02	6.60205913e-03	-1.09757909e-03	-6.30136815e-04	-4.67442275e-04	-8.13472697e-05	2.86237722e-03	-1.49587359e-02	1.79446965e-01	7.47647468e-02	1.04682219e-01
40              	1.91605575e-02	1.24187110e-02	6.74184649e-03	-1.04556953e-03	-6.02976342e-04	-4.42593188e-04	-8.01915767e-05	2.83843226e-03	-1.48780939e-02	1.79359776e-01	7.48017942e-02	1.04557982e-01
41              	1.92377007e-02	1.24340795e-02	6.80362113e-03	-1.00188708e-03	-5.73816710e-04	-4.28070373e-04	-7.28731684e-05	2.81522921e-03	-1.48446414e-02	1.79286964e-01	7.47988408e-02	1.04488124e-01
42              	1.91745853e-02	1.23906793e-02	6.78390598e-03	-9.92024054e-04	-5.55461193e-04	-4.36562861e-04	-5.94491664e-05	2.80338668e-03	-1.48571771e-02	1.79244859e-01	7.47652526e-02	1.04479607e-01
43              	1.90265776e-02	1.23216509e-02	6.70492672e-03	-1.02846350e-03	-5.55532111e-04	-4.72931386e-04	-4.13003625e-05	2.80836209e-03	-1.49009078e-02	1.79239722e-01	7.47189534e-02	1.04520769e-01
44              	1.88718945e-02	1.22653489e-02	6.60654556e-03	-1.10596900e-03	-5.74603429e-04	-5.31365573e-04	-2.16189280e-05	2.82940167e-03	-1.49518571e-02	1.79264049e-01	7.46801673e-02	1.04583881e-01
45              	1.87715945e-02	1.22453881e-02	6.52620642e-03	-1.20497373e-03	-6.07164634e-04	-5.97809099e-04	-4.67776778e-06	2.85959082e-03	-1.49896419e-02	1.79303847e-01	7.46622816e-02	1.04641565e-01
46              	1.87572184e-02	1.22669277e-02	6.49029073e-03	-1.29563067e-03	-6.42752102e-04	-6.52878567e-04	5.06323255e-06	2.88831848e-03	-1.50019237e-02	1.79342565e-01	7.46693587e-02	1.04673206e-01
47              	1.88161101e-02	1.23154418e-02	6.50066839e-03	-1.35720170e-03	-6.71646874e-04	-6.85554830e-04	6.95397790e-06	2.90738668e-03	-1.49900671e-02	1.79368635e-01	7.46942505e-02	1.04674385e-01
48              	1.89067998e-02	1.23671884e-02	6.53961148e-03	-1.38295208e-03	-6.87881551e-04	-6.95070533e-04	3.59449118e-06	2.91378845e-03	-1.49652545e-02	1.79377656e-01	7.47235733e-02	1.04654082e-01
49              	1.89908060e-02	1.24029931e-02	6.58781296e-03	-1.37483383e-03	-6.88778321e-04	-6.86055512e-04	-1.36140465e-06	2.90759006e-03	-1.49390316e-02	1.79370038e-01	7.47459874e-02	1.04624051e-01
50              	1.90429761e-02	1.24153632e-02	6.62761288e-03	-1.34870074e-03	-6.77322900e-04	-6.71377836e-04	-2.97253176e-06	2.89387516e-03	-1.49200160e-02	1.79350174e-01	7.47550711e-02	1.04595103e-01
51              	1.90580465e-02	1.24095738e-02	6.64847274e-03	-1.32734017e-03	-6.61547620e-04	-6.65792553e-04	2.12246637e-06	2.88055051e-03	-1.49113391e-02	1.79324274e-01	7.47507979e-02	1.04573476e-01
52              	1.90470119e-02	1.23991327e-02	6.64787928e-03	-1.33062653e-03	-6.50757462e-04	-6.79869065e-04	1.45558011e-05	2.87562669e-03	-1.49112011e-02	1.79299035e-01	7.47383164e-02	1.04560719e-01
53              	1.90288561e-02	1.23965700e-02	6.63228607e-03	-1.36636496e-03	-6.51166900e-04	-7.15198057e-04	3.20155782e-05	2.88214199e-03	-1.49148336e-02	1.79279704e-01	7.47250182e-02	1.04554685e-01
54              	1.90212389e-02	1.24088469e-02	6.61239203e-03	-1.42920389e-03	-6.63780289e-04	-7.65423599e-04	5.08216554e-05	2.89822742e-03	-1.49170982e-02	1.79268995e-01	7.47173993e-02	1.04551596e-01
55              	1.90339356e-02	1.24361061e-02	6.59782948e-03	-1.50542256e-03	-6.85172867e-04	-8.20249690e-04	6.75384117e-05	2.91913832e-03	-1.49145570e-02	1.79266649e-01	7.47187678e-02	1.04547882e-01
56              	1.90670698e-02	1.24720419e-02	6.59502791e-03	-1.57753254e-03	-7.08808525e-04	-8.68724011e-04	7.99577430e-05	2.93850699e-03	-1.49063605e-02	1.79270005e-01	7.47286422e-02	1.04541363e-01
57              	1.91121024e-02	1.25071752e-02	6.60492724e-03	-1.63187888e-03	-7.28269505e-04	-9.03609371e-04	8.76699330e-05	2.95112397e-03	-1.48943642e-02	1.79275176e-01	7.47432239e-02	1.04531952e-01
58              	1.91581307e-02	1.25346865e-02	6.62344417e-03	-1.66528978e-03	-7.40524116e-04	-9.24765667e-04	9.21207760e-05	2.95562119e-03	-1.48813988e-02	1.79278193e-01	7.47576978e-02	1.04520495e-01
59              	1.91964586e-02	1.25512858e-02	6.64517285e-03	-1.68172735e-03	-7.44848007e-04	-9.36879342e-04	9.60156674e-05	2.95305647e-03	-1.48699889e-02	1.79276181e-01	7.47681018e-02	1.04508079e-01
60              	1.92239619e-02	1.25590785e-02	6.66488341e-03	-1.69132424e-03	-7.43571261e-04	-9.47752980e-04	1.02090860e-04	2.94709753e-03	-1.48612569e-02	1.79268040e-01	7.47727632e-02	1.04495277e-01
61              	1.92429231e-02	1.25639184e-02	6.67900468e-03	-1.70667244e-03	-7.41270141e-04	-9.65402295e-04	1.12066077e-04	2.94245686e-03	-1.48548045e-02	1.79254550e-01	7.47724704e-02	1.04482079e-01
62              	1.92588186e-02	1.25722511e-02	6.68656751e-03	-1.73672524e-03	-7.42273545e-04	-9.94451695e-04	1.26089075e-04	2.94284178e-03	-1.48493096e-02	1.79238001e-01	7.47696910e-02	1.04468310e-01
63              	1.92772186e-02	1.25879817e-02	6.68923690e-03	-1.78322511e-03	-7.48753478e-04	-1.03447163e-03	1.42859078e-04	2.94937240e-03	-1.48433334e-02	1.79221535e-01	7.47674343e-02	1.04454101e-01
64              	1.93019097e-02	1.26117649e-02	6.69014480e-03	-1.84164715e-03	-7.60468924e-04	-1.08117823e-03	1.60354651e-04	2.96081006e-03	-1.48357862e-02	1.79207790e-01	7.47681086e-02	1.04439681e-01
65              	1.93331664e-02	1.26406562e-02	6.69251018e-03	-1.90364438e-03	-7.75331217e-04	-1.12831316e-03	1.76490971e-04	2.97407302e-03	-1.48265642e-02	1.79198339e-01	7.47726051e-02	1.04425733e-01
66              	1.93686988e-02	1.26700876e-02	6.69861128e-03	-1.96101929e-03	-7.90502445e-04	-1.17051684e-03	1.90007199e-04	2.98573814e-03	-1.48162672e-02	1.79193025e-01	7.47802453e-02	1.04412780e-01
67              	1.94043648e-02	1.26953731e-02	6.70899163e-03	-2.00859479e-03	-8.03474694e-04	-1.20512009e-03	2.00822700e-04	2.99319075e-03	-1.48060985e-02	1.79190513e-01	7.47891582e-02	1.04401355e-01
68              	1.94365368e-02	1.27138532e-02	6.72268357e-03	-2.04604138e-03	-8.13031369e-04	-1.23301001e-03	2.09989323e-04	2.99558482e-03	-1.47971361e-02	1.79188771e-01	7.47972494e-02	1.04391522e-01
69              	1.94633424e-02	1.27253114e-02	6.73803098e-03	-2.07657123e-03	-8.19174442e-04	-1.25739679e-03	2.19111173e-04	2.99364023e-03	-1.47899470e-02	1.79185813e-01	7.48029597e-02	1.04382854e-01
70              	1.94848958e-02	1.27316344e-02	6.75326141e-03	-2.10537822e-03	-8.23044604e-04	-1.28233361e-03	2.29644504e-04	2.98918650e-03	-1.47845029e-02	1.79180500e-01	7.48057472e-02	1.04374753e-01
71              	1.95027576e-02	1.27358084e-02	6.76694916e-03	-2.13765432e-03	-8.26612478e-04	-1.31104184e-03	2.42214681e-04	2.98442964e-03	-1.47803685e-02	1.79172806e-01	7.48060347e-02	1.04366772e-01
72              	1.95190899e-02	1.27405424e-02	6.77854747e-03	-2.17626932e-03	-8.31529239e-04	-1.34474008e-03	2.56605418e-04	2.98099746e-03	-1.47769162e-02	1.79163616e-01	7.48048919e-02	1.04358724e-01
73              	1.95351851e-02	1.27472145e-02	6.78797058e-03	-2.22098645e-03	-8.38466634e-04	-1.38251982e-03	2.72026592e-04	2.97962195e-03	-1.47737738e-02	1.79154594e-01	7.48035232e-02	1.04351071e-01
74              	1.95519951e-02	1.27559933e-02	6.79600181e-03	-2.26937211e-03	-8.47199325e-04	-1.42217279e-03	2.87486731e-04	2.97999576e-03	-1.47706500e-02	1.79147128e-01	7.48029143e-02	1.04344214e-01
75              	1.95684059e-02	1.27649558e-02	6.80345003e-03	-2.31694484e-03	-8.56631786e-04	-1.46031306e-03	3.01840636e-04	2.98075290e-03	-1.47679339e-02	1.79142358e-01	7.48032449e-02	1.04339113e-01
76              	1.95828384e-02	1.27717627e-02	6.81107564e-03	-2.35982988e-03	-8.65508969e-04	-1.49432091e-03	3.14405969e-04	2.98034354e-03	-1.47661356e-02	1.79140518e-01	7.48041232e-02	1.04336394e-01
77              	1.95936305e-02	1.27744793e-02	6.81915113e-03	-2.39615507e-03	-8.72953575e-04	-1.52320150e-03	3.25123961e-04	2.97766411e-03	-1.47658105e-02	1.79141171e-01	7.48047749e-02	1.04336396e-01
78              	1.95995048e-02	1.27718817e-02	6.82762307e-03	-2.42585153e-03	-8.78653231e-04	-1.54719830e-03	3.34272534e-04	2.97212933e-03	-1.47673829e-02	1.79143406e-01	7.48043203e-02	1.04339086e-01
79              	1.96000148e-02	1.27640704e-02	6.83594436e-03	-2.45094236e-03	-8.82902816e-04	-1.56803955e-03	3.42568367e-04	2.96406302e-03	-1.47709934e-02	1.79146250e-01	7.48021318e-02	1.04344119e-01
80              	1.95958536e-02	1.27523323e-02	6.84352133e-03	-2.47449756e-03	-8.86359700e-04	-1.58813786e-03	3.50889080e-04	2.95440547e-03	-1.47764084e-02	1.79148948e-01	7.47980655e-02	1.04350882e-01
81              	1.95883191e-02	1.27383171e-02	6.85000202e-03	-2.49878575e-03	-8.89665038e-04	-1.60912071e-03	3.59727837e-04	2.94415755e-03	-1.47831598e-02	1.79151221e-01	7.47924509e-02	1.04358770e-01
82              	1.95787074e-02	1.27232461e-02	6.85546128e-03	-2.52431776e-03	-8.93104494e-04	-1.63121326e-03	3.69054385e-04	2.93389243e-03	-1.47907601e-02	1.79153238e-01	7.47858590e-02	1.04367379e-01
83              	1.95675884e-02	1.27076497e-02	6.85993870e-03	-2.55019425e-03	-8.96574272e-04	-1.65361998e-03	3.78522853e-04	2.92385551e-03	-1.47989888e-02	1.79155673e-01	7.47788476e-02	1.04376825e-01
84              	1.95550783e-02	1.26917031e-02	6.86337520e-03	-2.57527830e-03	-8.99856642e-04	-1.67542166e-03	3.87782510e-04	2.91416395e-03	-1.48077786e-02	1.79159213e-01	7.47718278e-02	1.04387385e-01
85              	1.95406298e-02	1.26750718e-02	6.86555802e-03	-2.59828810e-03	-9.02645857e-04	-1.69564225e-03	3.96498194e-04	2.90475688e-03	-1.48172984e-02	1.79164414e-01	7.47649085e-02	1.04399505e-01
86              	1.95235854e-02	1.26572871e-02	6.86629827e-03	-2.61846929e-03	-9.04752734e-04	-1.71371656e-03	4.04481912e-04	2.89549441e-03	-1.48277492e-02	1.79171423e-01	7.47579622e-02	1.04413461e-01
87              	1.95033553e-02	1.26380882e-02	6.86526707e-03	-2.63604496e-03	-9.06201593e-04	-1.72984337e-03	4.11820888e-04	2.88641058e-03	-1.48393311e-02	1.79180082e-01	7.47507101e-02	1.04429372e-01
88              	1.94799572e-02	1.26177463e-02	6.86221096e-03	-2.65201205e-03	-9.07206099e-04	-1.74480595e-03	4.18799925e-04	2.87776765e-03	-1.48520065e-02	1.79189892e-01	7.47429395e-02	1.04446953e-01
89              	1.94538582e-02	1.25966913e-02	6.85716688e-03	-2.66722270e-03	-9.08012435e-04	-1.75921026e-03	4.25598914e-04	2.86976221e-03	-1.48655803e-02	1.79200254e-01	7.47345467e-02	1.04465707e-01
90              	1.94260316e-02	1.25755596e-02	6.85047203e-03	-2.68232852e-03	-9.08866417e-04	-1.77346210e-03	4.32297842e-04	2.86254379e-03	-1.48796961e-02	1.79210639e-01	7.47256233e-02	1.04485016e-01
91              	1.93972507e-02	1.25549498e-02	6.84230089e-03	-2.69763891e-03	-9.09909583e-04	-1.78772933e-03	4.38909873e-04	2.85632448e-03	-1.48940576e-02	1.79220810e-01	7.47163476e-02	1.04504463e-01
92              	1.93681806e-02	1.25356297e-02	6.83255095e-03	-2.71346144e-03	-9.11207437e-04	-1.80225400e-03	4.45523281e-04	2.85153936e-03	-1.49084097e-02	1.79230756e-01	7.47069682e-02	1.04523788e-01
93              	1.93394094e-02	1.25185150e-02	6.82089441e-03	-2.73038412e-03	-9.12835100e-04	-1.81754902e-03	4.52356959e-04	2.84881030e-03	-1.49225062e-02	1.79240581e-01	7.46977845e-02	1.04542797e-01
94              	1.93111599e-02	1.25042851e-02	6.80687485e-03	-2.74877865e-03	-9.14837704e-04	-1.83394095e-03	4.59551621e-04	2.84870512e-03	-1.49362279e-02	1.79250499e-01	7.46890213e-02	1.04561477e-01
95              	1.92835790e-02	1.24934446e-02	6.79013431e-03	-2.76903900e-03	-9.17331013e-04	-1.85170798e-03	4.67188485e-04	2.85165517e-03	-1.49494840e-02	1.79260630e-01	7.46808312e-02	1.04579799e-01
96              	1.92565444e-02	1.24861600e-02	6.77038440e-03	-2.79141863e-03	-9.20444595e-04	-1.87097403e-03	4.75264718e-04	2.85788781e-03	-1.49622992e-02	1.79271003e-01	7.46732024e-02	1.04597801e-01
97              	1.92299623e-02	1.24826621e-02	6.74730021e-03	-2.81662107e-03	-9.24466849e-04	-1.89215422e-03	4.83843685e-04	2.86768094e-03	-1.49747373e-02	1.79281559e-01	7.46660423e-02	1.04615517e-01
98              	1.92037124e-02	1.24831652e-02	6.72054720e-03	-2.84525407e-03	-9.29597783e-04	-1.91565629e-03	4.93029252e-04	2.88130900e-03	-1.49868536e-02	1.79292135e-01	7.46592141e-02	1.04632921e-01
99              	1.91777704e-02	1.24879054e-02	6.68986499e-03	-2.87795198e-03	-9.36067439e-04	-1.94188454e-03	5.02908549e-04	2.89902023e-03	-1.49986707e-02	1.79302584e-01	7.46526210e-02	1.04649963e-01
