# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
21              	3.21105508e-02	1.91579673e-02	1.29525836e-02	-1.10091894e-03	-1.37418305e-04	-9.63500639e-04	4.13041167e-04	3.10269186e-03	-5.14321903e-03	1.96697019e-01	9.32052906e-02	1.03491729e-01
22              	3.73935368e-02	2.17952275e-02	1.55983093e-02	-1.06178944e-03	-2.21230315e-04	-8.40559127e-04	3.09664406e-04	3.09845908e-03	-4.54077820e-03	1.97333268e-01	9.41258559e-02	1.03207412e-01
23              	3.86955667e-02	2.24333428e-02	1.62622239e-02	-9.80305412e-04	-2.31806427e-04	-7.48498985e-04	2.58346279e-04	3.08555943e-03	-4.57842146e-03	1.97629848e-01	9.42365024e-02	1.03393345e-01
24              	3.67137637e-02	2.14204339e-02	1.52933298e-02	-8.73386232e-04	-1.93916160e-04	-6.79470071e-04	2.42776955e-04	3.06355202e-03	-5.07648854e-03	1.97622027e-01	9.37345249e-02	1.03887502e-01
25              	3.30732098e-02	1.95678430e-02	1.35053668e-02	-7.51254768e-04	-1.34217929e-04	-6.17036838e-04	2.41409454e-04	3.03123810e-03	-5.74729079e-03	1.97452271e-01	9.29788447e-02	1.04473426e-01
26              	2.94676049e-02	1.77228559e-02	1.17447489e-02	-6.06976558e-04	-6.62845266e-05	-5.40692031e-04	2.37203752e-04	2.98905351e-03	-6.32147089e-03	1.97268037e-01	9.23125474e-02	1.04955489e-01
27              	2.70926277e-02	1.64931780e-02	1.05994497e-02	-4.74583801e-04	-3.10947964e-05	-4.43489004e-04	2.06197104e-04	2.94686411e-03	-6.63322277e-03	1.97155501e-01	9.19445279e-02	1.05210973e-01
28              	2.63966441e-02	1.61040304e-02	1.02926137e-02	-3.59665164e-04	-2.28093317e-05	-3.36855833e-04	1.57023250e-04	2.90570839e-03	-6.64675462e-03	1.97144327e-01	9.19254090e-02	1.05218918e-01
29              	2.71121095e-02	1.64222289e-02	1.06898806e-02	-2.55677900e-04	-2.47427383e-05	-2.30935162e-04	1.03096212e-04	2.86617419e-03	-6.43898379e-03	1.97206754e-01	9.21643934e-02	1.05042361e-01
30              	2.85724899e-02	1.71136555e-02	1.14588344e-02	-1.44979899e-04	-1.58428652e-05	-1.29137034e-04	5.66470845e-05	2.82741055e-03	-6.14150858e-03	1.97301678e-01	9.25093304e-02	1.04792348e-01
31              	3.00545077e-02	1.78197027e-02	1.22348050e-02	-3.22730068e-05	5.36083627e-06	-3.76338431e-05	2.14973397e-05	2.79244884e-03	-5.88131915e-03	1.97387000e-01	9.28121811e-02	1.04574819e-01
32              	3.10360469e-02	1.82835179e-02	1.27525290e-02	7.79012860e-05	3.49249847e-05	4.29763013e-05	-4.02565827e-06	2.76549441e-03	-5.73862645e-03	1.97445660e-01	9.29842035e-02	1.04461456e-01
33              	3.13042926e-02	1.83942035e-02	1.29100891e-02	1.91643296e-04	6.82986603e-05	1.23344635e-04	-2.75229876e-05	2.74205721e-03	-5.73430822e-03	1.97480325e-01	9.30058541e-02	1.04474471e-01
34              	3.09520488e-02	1.81921470e-02	1.27599017e-02	3.14475256e-04	1.01110849e-04	2.13364407e-04	-5.61267790e-05	2.71612265e-03	-5.83707866e-03	1.97505491e-01	9.29156667e-02	1.04589824e-01
35              	3.02669645e-02	1.78152419e-02	1.24517225e-02	4.54061387e-04	1.32082971e-04	3.21978416e-04	-9.49477227e-05	2.68175969e-03	-5.98628465e-03	1.97533478e-01	9.27804542e-02	1.04753024e-01
36              	2.95749118e-02	1.74315634e-02	1.21433483e-02	5.88013376e-04	1.55766822e-04	4.32246554e-04	-1.38239866e-04	2.64410755e-03	-6.12046714e-03	1.97568559e-01	9.26638122e-02	1.04904746e-01
37              	2.91182103e-02	1.71620919e-02	1.19561184e-02	7.14675026e-04	1.80554898e-04	5.34120128e-04	-1.76782615e-04	2.60298676e-03	-6.19836391e-03	1.97604072e-01	9.26036722e-02	1.05000400e-01
38              	2.89911131e-02	1.70573246e-02	1.19337884e-02	8.29301715e-04	2.11184047e-04	6.18117668e-04	-2.03466811e-04	2.56176810e-03	-6.20782916e-03	1.97628744e-01	9.26065429e-02	1.05022201e-01
39              	2.91490391e-02	1.71026883e-02	1.20463509e-02	9.17199795e-04	2.44609040e-04	6.72590754e-04	-2.13990857e-04	2.52816868e-03	-6.16339551e-03	1.97635184e-01	9.26541966e-02	1.04980988e-01
40              	2.94612014e-02	1.72431059e-02	1.22180956e-02	9.60503756e-04	2.72501810e-04	6.88001946e-04	-2.07750068e-04	2.51250515e-03	-6.09449773e-03	1.97622667e-01	9.27168356e-02	1.04905831e-01
41              	2.97777581e-02	1.74033736e-02	1.23743844e-02	9.60084640e-04	2.88338787e-04	6.71745853e-04	-1.91703533e-04	2.51449460e-03	-6.03158604e-03	1.97597705e-01	9.27672663e-02	1.04830438e-01
42              	2.99883272e-02	1.75210288e-02	1.24672984e-02	9.34733656e-04	2.94738144e-04	6.39995512e-04	-1.72628684e-04	2.52686520e-03	-5.99522314e-03	1.97574601e-01	9.27920772e-02	1.04782523e-01
43              	3.00481167e-02	1.75660224e-02	1.24820942e-02	9.02324839e-04	2.96100081e-04	6.06224759e-04	-1.55062339e-04	2.54196410e-03	-5.99188630e-03	1.97564780e-01	9.27905039e-02	1.04774277e-01
44              	2.99759903e-02	1.75416061e-02	1.24343842e-02	8.75683360e-04	2.96720879e-04	5.78962481e-04	-1.41120801e-04	2.55361093e-03	-6.01542607e-03	1.97573856e-01	9.27715018e-02	1.04802354e-01
45              	2.98313637e-02	1.74731523e-02	1.23582114e-02	8.63318408e-04	3.01842064e-04	5.61476345e-04	-1.29817141e-04	2.55747048e-03	-6.05208915e-03	1.97600145e-01	9.27479832e-02	1.04852162e-01
46              	2.96836509e-02	1.73982661e-02	1.22853848e-02	8.57405363e-04	3.11052426e-04	5.46352937e-04	-1.17650256e-04	2.55644061e-03	-6.08713781e-03	1.97637233e-01	9.27314787e-02	1.04905754e-01
47              	2.95840242e-02	1.73468892e-02	1.22371349e-02	8.48225614e-04	3.23571327e-04	5.24654287e-04	-1.00541480e-04	2.55487714e-03	-6.11022152e-03	1.97672961e-01	9.27262588e-02	1.04946702e-01
48              	2.95537578e-02	1.73357760e-02	1.22179817e-02	8.22773955e-04	3.34424294e-04	4.88349661e-04	-7.69626837e-05	2.55889714e-03	-6.11762431e-03	1.97698004e-01	9.27313776e-02	1.04966626e-01
49              	2.95839496e-02	1.73654950e-02	1.22184546e-02	7.70599268e-04	3.37199168e-04	4.33400100e-04	-4.81004658e-05	2.57352023e-03	-6.11211155e-03	1.97707766e-01	9.27417716e-02	1.04965995e-01
50              	2.96471334e-02	1.74215204e-02	1.22256130e-02	6.94011223e-04	3.28577657e-04	3.65433565e-04	-1.84279539e-05	2.59795370e-03	-6.10014498e-03	1.97702962e-01	9.27513363e-02	1.04951626e-01
51              	2.97120477e-02	1.74828542e-02	1.22291935e-02	6.06288982e-04	3.10150071e-04	2.96138911e-04	7.00558003e-06	2.62683032e-03	-6.08871200e-03	1.97689338e-01	9.27559568e-02	1.04933381e-01
52              	2.97553380e-02	1.75308421e-02	1.22244959e-02	5.25182534e-04	2.87711110e-04	2.37471424e-04	2.51198432e-05	2.65317311e-03	-6.08279565e-03	1.97674717e-01	9.27545627e-02	1.04920154e-01
53              	2.97676374e-02	1.75560922e-02	1.22115452e-02	4.63185402e-04	2.67084863e-04	1.96100539e-04	3.54921622e-05	2.67227349e-03	-6.08437499e-03	1.97666357e-01	9.27488037e-02	1.04917554e-01
54              	2.97515881e-02	1.75582650e-02	1.21933230e-02	4.25473398e-04	2.52785829e-04	1.72687568e-04	4.00491305e-05	2.68247101e-03	-6.09264664e-03	1.97668285e-01	9.27414961e-02	1.04926789e-01
55              	2.97201430e-02	1.75450705e-02	1.21750725e-02	4.10135681e-04	2.46511781e-04	1.63623900e-04	4.14439408e-05	2.68499896e-03	-6.10448958e-03	1.97680551e-01	9.27357857e-02	1.04944765e-01
56              	2.96869530e-02	1.75271984e-02	1.21597546e-02	4.08357082e-04	2.46711763e-04	1.61645319e-04	4.25332217e-05	2.68372192e-03	-6.11671394e-03	1.97699882e-01	9.27332268e-02	1.04966655e-01
57              	2.96621944e-02	1.75141282e-02	1.21480662e-02	4.09137030e-04	2.49886924e-04	1.59250106e-04	4.53184090e-05	2.68303100e-03	-6.12691596e-03	1.97721184e-01	9.27336758e-02	1.04987508e-01
58              	2.96492035e-02	1.75100959e-02	1.21391076e-02	4.04578472e-04	2.52120171e-04	1.52458301e-04	4.98309347e-05	2.68549418e-03	-6.13429684e-03	1.97739727e-01	9.27355664e-02	1.05004160e-01
59              	2.96463708e-02	1.75139646e-02	1.21324062e-02	3.93447422e-04	2.51150697e-04	1.42296724e-04	5.44269866e-05	2.69077919e-03	-6.13915904e-03	1.97752413e-01	9.27370473e-02	1.05015365e-01
60              	2.96496525e-02	1.75213686e-02	1.21282839e-02	3.80246525e-04	2.46886247e-04	1.33360278e-04	5.67629848e-05	2.69654234e-03	-6.14247698e-03	1.97758023e-01	9.27365346e-02	1.05021489e-01
61              	2.96534374e-02	1.75268413e-02	1.21265961e-02	3.71629278e-04	2.41048999e-04	1.30580279e-04	5.52343601e-05	2.70012258e-03	-6.14568990e-03	1.97757956e-01	9.27332881e-02	1.05024668e-01
62              	2.96537152e-02	1.75266561e-02	1.21270591e-02	3.72776815e-04	2.35897410e-04	1.36879405e-04	4.95090022e-05	2.69979850e-03	-6.14989042e-03	1.97755121e-01	9.27276702e-02	1.05027451e-01
63              	2.96487720e-02	1.75195433e-02	1.21292287e-02	3.85974001e-04	2.33535493e-04	1.52438507e-04	4.05484931e-05	2.69515730e-03	-6.15561701e-03	1.97752978e-01	9.27208720e-02	1.05032106e-01
64              	2.96380048e-02	1.75062069e-02	1.21317979e-02	4.09528787e-04	2.34809657e-04	1.74719130e-04	3.00452633e-05	2.68720449e-03	-6.16305900e-03	1.97754502e-01	9.27141919e-02	1.05040310e-01
65              	2.96237595e-02	1.74895441e-02	1.21342154e-02	4.39631796e-04	2.39538512e-04	2.00093284e-04	1.97226139e-05	2.67766434e-03	-6.17163392e-03	1.97760855e-01	9.27087937e-02	1.05052062e-01
66              	2.96101565e-02	1.74733413e-02	1.21368152e-02	4.71697976e-04	2.46636948e-04	2.25061028e-04	1.07879597e-05	2.66826305e-03	-6.18029221e-03	1.97771251e-01	9.27053334e-02	1.05065918e-01
67              	2.95986643e-02	1.74596638e-02	1.21390005e-02	5.01310419e-04	2.54366518e-04	2.46943901e-04	3.71130883e-06	2.66033168e-03	-6.18859617e-03	1.97783853e-01	9.27033303e-02	1.05080523e-01
68              	2.95880455e-02	1.74481377e-02	1.21399078e-02	5.26133371e-04	2.61294560e-04	2.64838811e-04	-1.77212514e-06	2.65411497e-03	-6.19669911e-03	1.97796687e-01	9.27016444e-02	1.05095043e-01
69              	2.95778999e-02	1.74380416e-02	1.21398584e-02	5.46146432e-04	2.66919373e-04	2.79227059e-04	-6.15384337e-06	2.64909160e-03	-6.20458859e-03	1.97807881e-01	9.26993518e-02	1.05108529e-01
70              	2.95692146e-02	1.74290654e-02	1.21401491e-02	5.62776706e-04	2.71539699e-04	2.91237007e-04	-9.84865415e-06	2.64445814e-03	-6.21202259e-03	1.97815836e-01	9.26958956e-02	1.05119941e-01
71              	2.95609232e-02	1.74202778e-02	1.21406453e-02	5.77264163e-04	2.75698430e-04	3.01565732e-04	-1.29336510e-05	2.63981623e-03	-6.21932603e-03	1.97820490e-01	9.26909192e-02	1.05129571e-01
72              	2.95523241e-02	1.74115131e-02	1.21408110e-02	5.89788335e-04	2.79697776e-04	3.10090559e-04	-1.51963913e-05	2.63535103e-03	-6.22677510e-03	1.97822893e-01	9.26846716e-02	1.05138222e-01
73              	2.95427935e-02	1.74028710e-02	1.21399225e-02	6.00162051e-04	2.83853383e-04	3.16308668e-04	-1.62276427e-05	2.63147423e-03	-6.23458923e-03	1.97824679e-01	9.26777503e-02	1.05146929e-01
74              	2.95322422e-02	1.73948861e-02	1.21373561e-02	6.07495321e-04	2.87977827e-04	3.19517494e-04	-1.57698333e-05	2.62876498e-03	-6.24283820e-03	1.97827449e-01	9.26708861e-02	1.05156562e-01
75              	2.95188017e-02	1.73870898e-02	1.21317119e-02	6.10767698e-04	2.91611168e-04	3.19156529e-04	-1.37726804e-05	2.62768898e-03	-6.25197476e-03	1.97832689e-01	9.26643698e-02	1.05168319e-01
76              	2.95037102e-02	1.73800778e-02	1.21236324e-02	6.09799568e-04	2.94258729e-04	3.15540838e-04	-1.06410544e-05	2.62822274e-03	-6.26170216e-03	1.97840462e-01	9.26585286e-02	1.05181933e-01
77              	2.94881771e-02	1.73739880e-02	1.21141891e-02	6.05496516e-04	2.95824068e-04	3.09672448e-04	-6.92419012e-06	2.62989941e-03	-6.27169831e-03	1.97849912e-01	9.26532578e-02	1.05196654e-01
78              	2.94733440e-02	1.73687856e-02	1.21045584e-02	5.99111986e-04	2.96397137e-04	3.02714850e-04	-3.15885659e-06	2.63211358e-03	-6.28165090e-03	1.97859755e-01	9.26482267e-02	1.05211528e-01
79              	2.94617976e-02	1.73651072e-02	1.20966904e-02	5.92317750e-04	2.96369853e-04	2.95947898e-04	2.10977337e-07	2.63420840e-03	-6.29089771e-03	1.97868217e-01	9.26432107e-02	1.05225006e-01
80              	2.94527876e-02	1.73624877e-02	1.20902999e-02	5.85391331e-04	2.95943394e-04	2.89447936e-04	3.24772915e-06	2.63609390e-03	-6.29959454e-03	1.97874635e-01	9.26377229e-02	1.05236912e-01
81              	2.94448217e-02	1.73603879e-02	1.20844338e-02	5.78062656e-04	2.95284534e-04	2.82778122e-04	6.25320571e-06	2.63797706e-03	-6.30807723e-03	1.97879174e-01	9.26315096e-02	1.05247664e-01
82              	2.94364718e-02	1.73584628e-02	1.20780090e-02	5.69746658e-04	2.94438588e-04	2.75308070e-04	9.56525878e-06	2.64022690e-03	-6.31667229e-03	1.97882521e-01	9.26245884e-02	1.05257933e-01
83              	2.94266996e-02	1.73564890e-02	1.20702106e-02	5.59961255e-04	2.93375514e-04	2.66585742e-04	1.33948860e-05	2.64313920e-03	-6.32563900e-03	1.97885640e-01	9.26171810e-02	1.05268459e-01
84              	2.94130360e-02	1.73534923e-02	1.20595436e-02	5.48059145e-04	2.91877784e-04	2.56181360e-04	1.78482120e-05	2.64697436e-03	-6.33560908e-03	1.97890006e-01	9.26093939e-02	1.05280612e-01
85              	2.93967671e-02	1.73497716e-02	1.20469955e-02	5.34971452e-04	2.89989928e-04	2.44981523e-04	2.25042025e-05	2.65138806e-03	-6.34628603e-03	1.97895843e-01	9.26016353e-02	1.05294207e-01
86              	2.93798466e-02	1.73457734e-02	1.20340732e-02	5.22018469e-04	2.87798949e-04	2.34219519e-04	2.67897149e-05	2.65585010e-03	-6.35722355e-03	1.97902758e-01	9.25941555e-02	1.05308603e-01
87              	2.93639210e-02	1.73418193e-02	1.20221017e-02	5.10465190e-04	2.85427950e-04	2.25037240e-04	3.01953550e-05	2.65985879e-03	-6.36804854e-03	1.97910096e-01	9.25869996e-02	1.05323097e-01
